objectid,gdb_geomattr_data,shape,nome_if,satatus,data_inicio,data_fim,bioma,uf,municipio,dominio,globalid,data_primeiro,created_user,created_date,last_edited_user,last_edited_date,operacao,nivel,tipo_area,regiao,responsavel,local,obs,x,y,amazonia_legal,bioma_ibge,regiao_ibge,uf_ibge,municipio_ibge
31305,,01010000A0110F000088635DF8E2C95BC130D49A96561A30C10000000000000000,Incêndio Parna Mapinguari,extinto,2024-07-20 03:00:00,2024-07-25 03:00:00,amazoni,RO,,federal,{BDEF5A9E-CE74-4AA3-99CC-B8EE9C5C75BE},,leticia.couto,2024-09-09 19:07:59,pedro.pires,2024-10-03 22:43:43,brasil,,ucf,,,,,"046° 29' 44.97"" W","20° 26' 39.72"" S",AM_Legal,Amazônia,Norte,RO,Porto Velho
85695,,01010000A0110F0000E86A2B8E3F035DC1E0F21F328C472FC10000000000000000,AM065_RAMAL_CASSIRIAN,extinto,2024-10-03 00:00:00,2024-10-30 00:00:00,,,,federal,{5A277320-754B-48EF-8470-99AE6E255BF0},2024-10-07 00:00:00,quaresma,2024-10-09 13:51:42,jade.oliveira,2024-10-30 17:56:51,brasil,1,pa,,prevfogo,"BR 364 KM 25 SENA MADUREIRA/RIO BRANCO , RAMAL DO CASSIRIAN",,-9.16805158504725,-68.32138888888889,AM_Legal,Amazônia,Norte,AM,Boca do Acre
80096,,01010000A0110F0000923A013D561654C1900F7AE6C72338C10000000000000000,GO033,extinto,2024-10-05 00:00:00,2024-11-12 00:00:00,,,,part,{1E9ACBEC-ABB7-4DFE-830C-29A52496F741},2024-10-05 00:00:00,pedro.pires,2024-10-06 17:08:41,luiz.guilherme.gomes,2024-11-12 19:43:21,brasil,2,privado,,prevfogo,Alto Paraíso,,-14.06804124804341,-47.3030636021826,,Cerrado,Centro-oeste,GO,Alto Paraíso de Goiás
53294,,01010000A0110F0000842F4C8618B952C1D056EC7FD02230C10000000000000000,Incêndio Parna da Serra das Confusões,extinto,2024-09-20 03:00:00,,cerrado,PI,,federal,{66AEBFA7-961E-4CE0-A7BC-452D8D2E4839},2024-10-30 00:00:00,leticia.couto,2024-09-23 13:53:20,leticia.couto,2024-10-22 14:49:38,brasil,1,ucf,,,,,"048° 13' 27.03"" W","09° 41' 51.45"" S",,Caatinga,Nordeste,PI,Bom Jesus
12930,,01010000A0110F0000B6847CFCB5FD53C100BADA2AA6C228C10000000000000000,Incêndio Parna da Chapada das Mesas,extinto,2024-07-02 03:00:00,2024-08-03 03:00:00,cerrado,MA,,federal,{8730BE2F-8AD3-4489-8BA7-B7346302F052},2024-08-02 03:00:00,leticia.couto,2024-08-30 18:03:54,pedro.pires,2024-10-03 22:43:43,brasil,1,,,,,,"063° 31' 51.22"" W","10° 41' 38.49"" S",AM_Legal,Cerrado,Nordeste,MA,Carolina
85295,,01010000A0110F000038D6C5A55C395DC180B7406266652FC10000000000000000,AC145_RAMAL_TABOCA,extinto,2024-10-07 00:00:00,2024-10-29 00:00:00,,,,federal,{D73D4E5F-07A1-4970-9499-1340A938D3C2},2024-10-07 00:00:00,quaresma,2024-10-09 13:14:12,jade.oliveira,2024-10-29 18:22:48,brasil,1,pa,,prevfogo,"ESTRADA LINHA SECA ,RAMAL DA TABOCA",,-9.201936938464307,-68.81916666666672,AM_Legal,Amazônia,Norte,AC,Sena Madureira
81697,,01010000A0110F0000F2D24D96A98756C1D05D4B78E77C35C10000000000000000,MT132 Lamakuka,extinto,2024-10-06 00:00:00,2024-10-26 00:00:00,,,,federal,{FF8D61C1-B74B-4E2A-8490-6EE34DBDB79F},2024-10-07 00:00:00,leandro.bruno,2024-10-07 17:12:55,leandro.bruno,2024-10-26 21:40:32,xingu,3,ti,,prevfogo,,,-12.548812862958254,-53.055276361467676,AM_Legal,Amazônia,Centro-oeste,MT,Gaúcha do Norte
127295,,01010000A0110F0000FCCBEE4575BC53C1804469EF2BF819C10000000000000000,MA035,extinto,2024-10-26 00:00:00,2024-11-20 00:00:00,,,,federal,{504C174F-B866-45FB-BAAC-E9601776257C},2024-10-27 00:00:00,luiz.guilherme.gomes,2024-10-29 21:58:21,luiz.guilherme.gomes,2024-11-21 16:18:12,grajau,2,ti,,prevfogo,Caru,,-3.819346933273354,-46.476291400825744,AM_Legal,Amazônia,Nordeste,MA,Bom Jardim
128095,,01010000A0110F00009EEFA7B2731058C19075713BF6AE3DC10000000000000000,MT177 - Fazenda Campina Grande,extinto,2024-10-15 01:00:00,,,,,part,{504EA56B-73B9-47AC-AD25-24570CF8A8C1},2024-10-31 01:00:00,dmitri.lechner,2024-10-31 17:20:40,luiz.guilherme.gomes,2024-12-09 12:36:44,pantanal_norte,3,privado,,cmb,Rio São Lourenço,,-17.210430738126533,-56.66844814433673,AM_Legal,Pantanal,Centro-oeste,MT,Poconé
78895,,01010000A0110F00005E29CBF02BC754C1C04F8DD7274F10C10000000000000000,PA031_Ramal_do_Bata,extinto,2024-10-04 00:00:00,2024-11-12 00:00:00,,,,federal,{9E71488A-28D3-4529-94E6-E401F89DC6FE},2024-10-04 00:00:00,quaresma,2024-10-05 18:31:51,luiz.guilherme.gomes,2024-11-12 17:16:05,brasil,1,pa,,prevfogo,,,-2.399686044520726,-48.9297222222225,AM_Legal,Amazônia,Norte,PA,Moju
76095,,01010000A0110F00001648504C97ED53C160CC5D3BF04A33C10000000000000000,Incêndio Esec Serra Geral do Tocantins,extinto,2024-10-01 00:00:00,2024-11-12 00:00:00,,,,,{95442E16-EA78-4D35-9784-C3694363AA68},2024-10-03 00:00:00,leticia.couto,2024-10-04 13:49:35,luiz.guilherme.gomes,2024-11-12 19:43:21,brasil,,,,,,,-11.284346335590879,-46.92825268220969,AM_Legal,Cerrado,Norte,TO,Almas
86095,,01010000A0110F000076029A78E90C5DC1E044D830ED4C2FC10000000000000000,AC146_,extinto,2024-10-07 00:00:00,,,,,federal,{EBC84BC5-BE0D-4AE7-83B2-56BE02D97EBC},2024-10-07 00:00:00,quaresma,2024-10-09 14:05:39,jade.oliveira,2024-10-29 14:48:11,brasil,1,pa,,prevfogo,"BR 364 KM 25 SENA MADUREIRA/RIO BRANCO , RAMAL DO CASSIRIAN",,-9.174157400429877,-68.41028314219581,AM_Legal,Amazônia,Norte,AC,Sena Madureira
79296,,01010000A0110F0000462575F22E8D51C180AEB68229F435C10000000000000000,BA031_HOSPITAL,extinto,2024-10-04 00:00:00,2024-11-12 00:00:00,,,,,{D0F2A33F-707C-41C0-A2BC-AE8D75DC0C3D},2024-10-04 00:00:00,quaresma,2024-10-05 19:22:52,luiz.guilherme.gomes,2024-11-12 17:41:27,brasil,1,,,prevfogo,,,-12.816377121644516,-41.33166398445767,,Caatinga,Nordeste,BA,Andaraí
80495,,01010000A0110F0000DA3D792CC9B355C190C2F548CA3032C10000000000000000,MT138,extinto,2024-10-05 00:00:00,,,,,federal,{83DC3EA5-BB90-41AC-86CB-72E429363EA9},2024-10-05 00:00:00,pedro.pires,2024-10-06 17:50:55,jade.oliveira,2024-10-22 15:50:06,brasil,3,ti,,prevfogo,TI Urubu branco,,-10.647344771862118,-51.10627666666666,AM_Legal,Amazônia,Centro-oeste,MT,Santa Terezinha
87295,,01010000A0110F000022DBF93A0A7B5DC130F6977D8A4A32C10000000000000000,AC148_RESEX_KM84,extinto,2024-10-08 00:00:00,2024-10-30 00:00:00,,,,federal,{4A7D144F-C1AB-4B90-BDB2-321157546BCB},2024-10-08 00:00:00,quaresma,2024-10-09 15:02:05,jade.oliveira,2024-10-30 11:09:18,brasil,1,pa,,prevfogo,ocal RESEX CHICO MENDES km 84,,-10.705538426294945,-69.423322604497,AM_Legal,Amazônia,Norte,AC,Assis Brasil
59301,,01010000A0110F000028ED0D0EBF7E52C1280F0BED3B7D41C10000000000000000,Incêndio entorno Parna da Serra do Gandarela,extinto,2024-09-25 03:00:00,,mata_atl,MG,,federal,{355F54E9-7182-4B3E-802A-80900BA8AC60},2024-09-25 03:00:00,leticia.couto,2024-09-27 14:06:22,leticia.couto,2024-10-07 14:36:21,brasil,2,ucf,,,,,"061° 32' 4.79"" W","08° 28' 21.94"" S",,Mata Atlântica,Sudeste,MG,Santa Bárbara
81295,,01010000A0110F000036AB3E236A7A52C1805AD30C40AF36C10000000000000000,BA033,extinto,2024-10-06 00:00:00,2024-11-12 00:00:00,,,,federal,{0F35B2E4-A830-43B0-9BFB-0A060CD9121D},2024-10-06 00:00:00,quaresma,2024-10-07 12:54:52,luiz.guilherme.gomes,2024-11-12 17:41:27,brasil,1,tq,,prevfogo,,,-13.2355490302042,-43.513894253306916,,Caatinga,Nordeste,BA,Bom Jesus da Lapa
56494,,01010000A0110F000096D409F8C3C657C1808CB90B088F41C10000000000000000,MS119 - Iuma,extinto,2024-09-23 00:00:00,2024-10-20 00:00:00,cerrado,MS,Aquidauana,federal,{8263CDA6-3488-4899-8EE3-71678C0162C8},2024-09-23 00:00:00,bruno.blanco,2024-09-24 18:53:07,jade.oliveira,2024-10-22 16:28:20,pantanal_sul,2,ti,centro,prevfogo,TI Taunay/Ipegue,,"068° 17' 42.95"" W","09° 20' 26.79"" S",,Pantanal,Centro-oeste,MS,Aquidauana
28893,,01010000A0110F0000C217262F75685BC1E068004F0AF231C10000000000000000,RO019,extinto,2024-09-05 00:00:00,2024-09-10 00:00:00,amazoni,RO,Nova Mamoré,estadual,{A5650691-9849-4E6C-A029-09EED7C856B4},,luiz.guilherme.gomes,2024-09-08 18:20:13,luiz.guilherme.gomes,2024-10-10 19:54:40,guajaramirim,2,uce,norte,prevfogo,Parque Estadual de Guajara-Mirim,,"061° 49' 35.35"" W","08° 29' 2.77"" S",AM_Legal,Amazônia,Norte,RO,Nova Mamoré
128495,,01010000A0110F0000E8FBA9D517CE53C1003B700E8F551AC10000000000000000,Incêndio Rebio do Gurupi,extinto,2024-10-30 00:00:00,2024-11-12 00:00:00,,,,,{30A60C4B-B3CC-4C54-B605-900991AF22F3},2024-11-01 00:00:00,leticia.couto,2024-11-04 18:53:33,leticia.couto,2024-11-21 12:12:30,brasil,2,,,icmbio,,,-3.8729163401442723,-46.63851138283256,AM_Legal,Amazônia,Nordeste,MA,Bom Jardim
611,,01010000A0110F00005C8FC2516E0053C140AB3EF777A024C10000000000000000,MA002_TerraindigenaKrenye,extinto,2024-06-15 00:00:00,2024-07-31 00:00:00,cerrado,MA,Tuntum,federal,{FD956084-1C52-4DF5-A7EB-556159BCB105},2024-07-31 00:00:00,jade.oliveira,2024-08-02 16:50:23,bruno.blanco,2024-10-24 20:02:34,brasil,2,ti,nordeste,prevfogo,TI Krenyê,,"044° 44' 48.04"" W","06° 03' 37.37"" S",AM_Legal,Cerrado,Nordeste,MA,Tuntum
1283,,01010000A0110F0000CE88D282EB945DC190A98251029E32C10000000000000000,AC021_Chico Mendes,extinto,2024-08-17 00:00:00,2024-08-19 00:00:00,amazoni,AC,Assis Brasil,part,{2E538CC1-53EF-4292-97E5-BFF6827E66F3},2024-08-17 00:00:00,luiz.guilherme.gomes,2024-08-21 15:07:07,bruno.blanco,2024-10-25 12:49:38,brasil,1,privado,norte,prevfogo,Resex Chico Mendes / Colonia São Sebastião,,"069° 39' 40.99"" W","10° 53' 38.72"" S",AM_Legal,Amazônia,Norte,AC,Assis Brasil
58494,,01010000A0110F0000645DDC32AA915AC100D34DC2F8202EC10000000000000000,RO035,extinto,2024-09-25 00:00:00,,amazoni,RO,Cujubim,estadual,{4D937A32-0701-4D45-82C3-561E3B84AD92},,luiz.guilherme.gomes,2024-09-26 14:17:41,luiz.guilherme.gomes,2024-10-27 16:20:43,soldado,2,publico_e,norte,prevfogo,ESTAÇÃO ECOLÓGICA SOLDADO DA BORRACHA,,"061° 11' 27.17"" W","11° 13' 11.64"" S",AM_Legal,Amazônia,Norte,RO,Cujubim
79295,,01010000A0110F00005A423E08A67A5DC1B0F1D2DDCE4932C10000000000000000,AC143_RESEX,extinto,2024-10-03 00:00:00,2024-10-30 00:00:00,,,,federal,{E02469B3-9733-4357-A3BD-4F72FA75090C},2024-10-04 00:00:00,quaresma,2024-10-05 19:17:06,jade.oliveira,2024-10-30 11:09:35,brasil,1,ucf,,icmbio,RESEX CHICO MENDES KM84,,-10.703882301690614,-69.41972222222223,AM_Legal,Amazônia,Norte,AC,Brasiléia
419,,01010000A0110F0000DACEF7EF8D4658C1881F6366761641C10000000000000000,MS022 - Santa Fênix,extinto,2024-07-01 00:00:00,2024-07-17 00:00:00,pantanal,MS,Corumbá,part,{91DB6747-E9F1-4FE5-A6AA-EF54C0CB410C},2024-07-05 00:00:00,EDITOR02,2024-07-02 16:12:44,pedro.pires,2024-10-07 18:22:08,pantanal_sul,2,privado,centro,prevfogo,Fazenda Bodoquena,,"057° 09' 58.04"" W","19° 43' 6.96"" S",,Pantanal,Centro-oeste,MS,Corumbá
72895,,01010000A0110F000070F085A175D157C1B013D064897B3CC10000000000000000,MT125 - Norte SESC,extinto,2024-09-30 01:00:00,2024-10-29 00:00:00,pantanal,MT,Barão de Melgaço,part,{2E3E3E7F-45C3-45FE-8411-67F7E15D0DD7},2024-10-04 01:00:00,bruno.blanco,2024-10-02 15:17:14,bruno.blanco,2024-10-29 19:26:49,pantanal_norte,2,privado,centro,cmb,Baía das Pombas Retiro São Miguel,,-16.533885946620686,-56.08899644925165,AM_Legal,Pantanal,Centro-oeste,MT,Barão de Melgaço
678,,01010000A0110F0000482EFF154FA855C1A089B0217D5D29C10000000000000000,PA010_Kayapó,extinto,2024-08-05 00:00:00,2024-09-21 00:00:00,amazoni,PA,Cumaru do Norte,federal,{FD86281E-6BB6-411D-9613-20CA68D72DD3},,luiz.guilherme.gomes,2024-08-09 18:28:34,luiz.guilherme.gomes,2024-11-04 20:06:48,brasil,,ti,norte,prevfogo,TI Kayapó,,"051° 00' 2.53"" W","07° 26' 43.63"" S",AM_Legal,Amazônia,Norte,PA,Cumaru do Norte
683,,01010000A0110F0000DC6800A3D09B55C140E8D9EC072C29C10000000000000000,PA002_Kayapó,extinto,2024-08-09 00:00:00,2024-11-04 00:00:00,amazoni,PA,Bannach,federal,{608FA4C2-5BBB-45C3-8B7E-157FCF1DD1E3},,luiz.guilherme.gomes,2024-08-09 18:33:27,luiz.guilherme.gomes,2024-11-04 20:35:37,brasil,,ti,norte,prevfogo,TI Kayapó,,"050° 53' 8.79"" W","07° 23' 20.62"" S",AM_Legal,Amazônia,Norte,PA,Bannach
680,,01010000A0110F0000B8D100329C1A56C10071AC0BF4F22BC10000000000000000,PA005_Kayapó,extinto,2024-08-09 00:00:00,2024-11-04 00:00:00,amazoni,PA,Ourilândia do Norte,federal,{103A0725-A418-4479-B52C-B3E40C269835},,luiz.guilherme.gomes,2024-08-09 18:32:03,luiz.guilherme.gomes,2024-11-04 20:35:37,brasil,,ti,norte,prevfogo,TI Kayapó,,"052° 03' 7.67"" W","08° 11' 56.22"" S",AM_Legal,Amazônia,Norte,PA,Ourilândia do Norte
685,,01010000A0110F00008E53749CAE5256C120C9E55F449028C10000000000000000,PA007_Kayapó,extinto,2024-08-09 00:00:00,2024-11-04 00:00:00,amazoni,PA,São Félix do Xingu,federal,{A3BA1243-651D-475D-86B7-58562CD9D18B},,luiz.guilherme.gomes,2024-08-09 18:38:21,luiz.guilherme.gomes,2024-11-04 20:35:37,brasil,,ti,norte,prevfogo,TI Kayapó,,"052° 34' 4.52"" W","07° 12' 41.07"" S",AM_Legal,Amazônia,Norte,PA,São Félix do Xingu
86495,,01010000A0110F000088855A578E0A5DC1E03FA43F9F0A2FC10000000000000000,AM066_RAMAL_CASSIRIAN_KM15,extinto,2024-10-07 00:00:00,2024-11-12 00:00:00,,,,federal,{E7B48C9F-A378-4A5B-8FAB-2EC5E432DC34},2024-10-07 00:00:00,quaresma,2024-10-09 14:14:47,luiz.guilherme.gomes,2024-11-12 17:41:27,brasil,1,pa,,prevfogo,"BR 364 KM 15 SENA MADUREIRA/RIO BRANCO , RAMAL DO CASSIRIAN",,-9.098884917598825,-68.38861111111113,AM_Legal,Amazônia,Norte,AM,Boca do Acre
76895,,01010000A0110F00009C559F13BF5556C1E09C11CD483C46C10000000000000000,PR012,extinto,2024-10-02 00:00:00,2024-11-02 00:00:00,,,,federal,{400BEED0-45D2-4165-BD47-92FA54AF6473},2024-10-02 00:00:00,quaresma,2024-10-04 17:28:11,leandro.bruno,2024-11-04 19:30:59,brasil,1,ti,,prevfogo,Sede,,-25.31471131545266,-52.596111111111114,,Mata Atlântica,Sul,PR,Nova Laranjeiras
1282,,01010000A0110F000088F4DB57CB325DC10012141F76C632C10000000000000000,AC020_BR 317,extinto,2024-08-18 00:00:00,2024-09-26 00:00:00,amazoni,AC,Brasiléia,,{8615FB16-804C-433B-8B63-D5AB8D73044F},2024-08-18 00:00:00,luiz.guilherme.gomes,2024-08-21 14:56:42,bruno.blanco,2024-10-25 12:49:08,brasil,1,,norte,prevfogo,,Sem Domínio,"068° 45' 31.51"" W","10° 59' 7.53"" S",AM_Legal,Amazônia,Norte,AC,Brasiléia
13294,,01010000A0110F000000917E6B37385DC1B0A6796741B332C10000000000000000,AC045,extinto,2024-08-01 00:00:00,2024-08-30 00:00:00,amazoni,AC,Brasiléia,,{6D8859C4-577A-4C5E-82BC-A3B77B52BB0B},2024-08-01 00:00:00,luiz.guilherme.gomes,2024-08-30 18:43:21,bruno.blanco,2024-10-25 13:16:23,brasil,1,,norte,prevfogo,,,"068° 49' 23.98"" W","10° 57' 6.02"" S",AM_Legal,Amazônia,Norte,AC,Brasiléia
70497,,01010000A0110F0000C898BB3ECFAB56C1B00C717CC62C35C10000000000000000,MT113 Aweti 2,extinto,2024-10-01 00:00:00,2024-10-03 00:00:00,,MT,,federal,{209B9DA3-CB4F-4460-9A07-7457D8611BF9},2024-10-01 00:00:00,leandro.bruno,2024-10-02 13:14:28,leandro.bruno,2024-10-27 14:18:23,xingu,3,ti,centro,prevfogo,,,-12.368881039374793,-53.38778445556378,AM_Legal,Amazônia,Centro-oeste,MT,Gaúcha do Norte
87695,,01010000A0110F0000EAB7AF87D17E5DC1109C33F2459532C10000000000000000,AC149,extinto,2024-10-08 00:00:00,2024-11-12 00:00:00,,,,federal,{2984BADE-E6CE-4A2D-A93E-1AEF73CA00EA},2024-10-08 00:00:00,quaresma,2024-10-09 15:06:01,luiz.guilherme.gomes,2024-11-12 17:41:27,brasil,1,pa,,prevfogo,Local PAE SANTA Quitéria km 97 Assis Brasil,,-10.87436066904867,-69.45808020666055,AM_Legal,Amazônia,Norte,AC,Assis Brasil
79695,,01010000A0110F00009CA22311D3D356C1A023B9FC6A3C33C10000000000000000,MT131 IF Sobradinho,extinto,2024-10-04 00:00:00,2024-10-09 00:00:00,,,,federal,{874DFC42-D838-4457-8912-4673A12EBBB0},2024-10-05 00:00:00,leandro.bruno,2024-10-05 22:09:23,leandro.bruno,2024-10-10 10:34:19,xingu,3,ti,,prevfogo,,,-11.251597433516134,-53.75587172690431,AM_Legal,Amazônia,Centro-oeste,MT,Feliz Natal
129695,,01010000A0110F000098DD93A3ECD653C140234A9BFBC921C10000000000000000,MA036,extinto,2024-11-02 00:00:00,2024-11-20 00:00:00,,,,federal,{33B367CB-DD08-477B-A8A4-75BF1268B2A8},2024-11-04 00:00:00,luiz.guilherme.gomes,2024-11-08 14:40:23,luiz.guilherme.gomes,2024-11-21 15:49:27,grajau,2,ti,,prevfogo,Araribóia,,-5.229093604277484,-46.71974798674861,AM_Legal,Amazônia,Nordeste,MA,Amarante do Maranhão
31298,,01010000A0110F0000DA1B7C6528585DC1D0D556CCDB3E32C10000000000000000,Incêndio Resex Chico Mendes,extinto,2024-07-25 03:00:00,2024-07-28 03:00:00,amazoni,AC,,federal,{245A1A8F-8338-46F6-A7AB-39D1E1B8F112},,leticia.couto,2024-09-09 18:24:20,pedro.pires,2024-10-03 22:43:43,brasil,,ucf,,,,,"065° 26' 19.87"" W","09° 26' 13.66"" S",AM_Legal,Amazônia,Norte,AC,Brasiléia
128895,,01010000A0110F000076E09C71F2BF5AC160666636C33F35C10000000000000000,Incêndio Rebio do Guaporé,extinto,2024-10-03 00:00:00,2024-11-07 00:00:00,,,,,{464A7921-F039-4686-90B3-B5C3E7B1036E},2024-10-03 00:00:00,leticia.couto,2024-11-06 14:52:39,leticia.couto,2024-11-11 19:36:01,brasil,1,,,icmbio,,,-12.411528692158903,-62.992542682209006,AM_Legal,Amazônia,Norte,RO,São Francisco do Guaporé
64499,,01010000A0110F0000EEEBC0C1D27552C120FDF6955C832FC10000000000000000,Incêndio Parna da Serra das Confusões,extinto,2024-09-28 03:00:00,,cerrado,PI,,federal,{B1A98533-7B99-4637-BA18-9B0DAB8BAD86},2024-09-28 03:00:00,leticia.couto,2024-10-01 12:10:26,pedro.pires,2024-10-03 22:43:43,brasil,1,ucf,,,,,,,,Caatinga,Nordeste,PI,Caracol
81695,,01010000A0110F000052DA1B38ADB954C100DBF9FE6AE10EC10000000000000000,PA032_ramal_ouro_verde,extinto,2024-10-05 00:00:00,2024-10-05 00:00:00,,,,federal,{C59D480B-F892-4CAE-BB0E-9F9EAB17B46D},2024-10-05 00:00:00,dmitri.lechner,2024-10-07 13:04:20,luiz.guilherme.gomes,2024-11-12 17:41:27,brasil,1,pa,,prevfogo,PA OLHO D'ÁGUA,vicinal 2 próximo ao sitio ouro verde,-2.2719029032307376,-48.805585059854714,AM_Legal,Amazônia,Norte,PA,Moju
26897,,01010000A0110F00000A46253D164353C1C03099AACA942DC10000000000000000,Incêndio Esec de Uruçui-Una,extinto,2024-07-16 03:00:00,2024-07-16 03:00:00,cerrado,PI,,federal,{1C2C92D6-11BB-485E-A37F-D6C7F0AFF0AF},,leticia.couto,2024-09-06 17:21:05,pedro.pires,2024-10-03 22:43:43,brasil,,ucf,,,,,"045° 41' 40.68"" W","09° 59' 48.25"" S",,Cerrado,Nordeste,PI,Baixa Grande do Ribeiro
70496,,01010000A0110F0000DA3D79BC26B356C18036AB0E863B36C10000000000000000,MT112 Kurizevo 03,extinto,2024-09-30 00:00:00,2024-10-03 00:00:00,,MT,,federal,{AC6BE866-4629-46C9-AAFF-698179B98016},2024-09-30 00:00:00,leandro.bruno,2024-10-02 13:02:44,jade.oliveira,2024-10-07 14:10:49,xingu,3,ti,centro,prevfogo,,,-12.976346618418933,-53.45531948214076,AM_Legal,Amazônia,Centro-oeste,MT,Gaúcha do Norte
